VICE,CAMPO,crudo_agosto,blancos_agosto,total_crudo_agosto,total_blancos_agosto,GEO_LATITUDE,GEO_LONGITUDE
GNS,CARACARA SUR A,1288.678387,,88440.486779645,613.4506451139999,,
GNS,CARACARA SUR B y C,964.4867742,,88440.486779645,613.4506451139999,,
GNS,CARICARE,4137.99129055,,88440.486779645,613.4506451139999,,
GNS,CAÑO LIMON,15321.4529,,88440.486779645,613.4506451139999,,
GNS,CAÑO RONDON,1237.493226,,88440.486779645,613.4506451139999,,
GNS,CAÑO YARUMAL,3051.074194,,88440.486779645,613.4506451139999,,
GNS,CHIPIRON,2185.332903,,88440.486779645,613.4506451139999,,
GNS,COHEMBI,5983.843226,,88440.486779645,613.4506451139999,2.1603109420944,-78.2984229533851
GNS,CORAZON,42.806451609,47.414838704,88440.486779645,613.4506451139999,,
GNS,CORAZON WEST,143.633871,44.14419355,88440.486779645,613.4506451139999,,
GNS,ELIZITA,454.0367742,,88440.486779645,613.4506451139999,,
GNS,FINN,167.0006452,,88440.486779645,613.4506451139999,,
GNS,GALEMBO,16.0616129,,88440.486779645,613.4506451139999,,
GNS,GUAYUYACO,268.7529032,,88440.486779645,613.4506451139999,,
GNS,JUANAMBU,210.3574194,,88440.486779645,613.4506451139999,,
GNS,LA SALINA,856.0658065,72.26225806,88440.486779645,613.4506451139999,,
GNS,LOS ANGELES,257.5354839,,88440.486779645,613.4506451139999,,
GNS,MACANA,81.30677419,,88440.486779645,613.4506451139999,,
GNS,MORROCOY,135.8554839,,88440.486779645,613.4506451139999,,
GNS,PAYOA,398.5322581,449.6293548,88440.486779645,613.4506451139999,,
GNS,PAYOA WEST,4.593225806,,88440.486779645,613.4506451139999,,
GNS,PEGUITA,1286.164194,,88440.486779645,613.4506451139999,,
GNS,PEGUITA II,441.3177419,,88440.486779645,613.4506451139999,,
GNS,PEGUITA III,323.9887097,,88440.486779645,613.4506451139999,,
GNS,PEGUITA SOUTH WEST,488.5570968,,88440.486779645,613.4506451139999,,
GNS,QUIFA,25226.56097,,88440.486779645,613.4506451139999,,
GNS,QUILLACINGA,477.6358065,,88440.486779645,613.4506451139999,2.10604855436205,-78.3854918032252
GNS,QUINDE,11.05451613,,88440.486779645,613.4506451139999,2.07310711137262,-78.2315632889617
GNS,RANCHO QUEMADO,64.71645161,,88440.486779645,613.4506451139999,,
GNS,REDONDO,1259.623226,,88440.486779645,613.4506451139999,,
GNS,REX,483.393871,,88440.486779645,613.4506451139999,,
GNS,REX NORESTE,12625.82323,,88440.486779645,613.4506451139999,,
GNS,SANTA LUCIA,134.4635484,,88440.486779645,613.4506451139999,,
GNS,TERECAY,1779.557097,,88440.486779645,613.4506451139999,,
GNS,TORO SENTADO,588.4483871,,88440.486779645,613.4506451139999,,
GNS,TORO SENTADO WEST,94.04387097,,88440.486779645,613.4506451139999,,
GNS,UNUMA,24.44322581,,88440.486779645,613.4506451139999,,
GNS,VENUS,297.0283871,,88440.486779645,613.4506451139999,3.52624507758361,-72.9699255496773
GOR,CAÑO SUR ESTE,54165.04258,,151196.76903,0.0,3.84635905128501,-71.7740644247567
GOR,RUBIALES,97031.72645,,151196.76903,0.0,3.84543534702597,-71.3932749400971
GPA,ABANICO,316.6125806,,21298.93580732,234.52516128,,
GPA,ACAE-SAN MIGUEL (PTO COLON),586.526129,,21298.93580732,234.52516128,0.6034121940158633,-76.56132285586207
GPA,ALQAMARI,507.5803226,,21298.93580732,234.52516128,0.550125351563656,-77.099602097175
GPA,ARRAYAN,196.3641935,0.997741935,21298.93580732,234.52516128,3.1775800003528,-75.2987000033623
GPA,BALCON,481.5387097,5.547741935,21298.93580732,234.52516128,3.20240767464567,-75.3417615966847
GPA,BRISAS,211.8783871,,21298.93580732,234.52516128,3.12240549750031,-75.2736447597965
GPA,CARIBE,1548.709032,,21298.93580732,234.52516128,0.620791000046648,-76.9964120033669
GPA,CHURUYACO,40.26483871,,21298.93580732,234.52516128,0.5411186822183652,-77.06515374107276
GPA,DINA CRETACEO,650.8835484,22.61193548,21298.93580732,234.52516128,3.08974748046081,-75.2974643248902
GPA,DINA NORTE,259.6916129,12.02612903,21298.93580732,234.52516128,,
GPA,DINA TERCIARIO,2489.825484,52.90612903,21298.93580732,234.52516128,3.08896877788435,-75.294995076425
GPA,GIGANTE,242.1587097,,21298.93580732,234.52516128,,
GPA,HORMIGA,18.33129032,,21298.93580732,234.52516128,0.472775901677436,-76.8870311441212
GPA,LA JAGUA,53.22870968,,21298.93580732,234.52516128,3.47455026319115,-75.6745701947143
GPA,LOMA LARGA,336.3983871,,21298.93580732,234.52516128,3.17074884301148,-75.2660733212751
GPA,LORO,201.9564516,,21298.93580732,234.52516128,0.384226584725131,-76.8983212775932
GPA,ORITO,1520.073226,,21298.93580732,234.52516128,0.681139717600852,-76.8779258806159
GPA,PALERMO-SANTA CLARA UNIFICADO,459.7970968,,21298.93580732,234.52516128,,
GPA,PALOGRANDE UNIFICADO,1879.869355,,21298.93580732,234.52516128,,
GPA,QURIYANA,458.933871,,21298.93580732,234.52516128,0.5503138137709693,-77.09937547848847
GPA,SAN ANTONIO,35.21741935,,21298.93580732,234.52516128,0.528085995622529,-77.0455950027869
GPA,SAN FRANCISCO,3029.034194,30.45032258,21298.93580732,234.52516128,3.0360569104314,-75.2814473626539
GPA,SUCIO,74.79645161,,21298.93580732,234.52516128,1.6253416690366,-78.0286467452813
GPA,TELLO,3204.41871,,21298.93580732,234.52516128,5.06323506640053,-70.618027202838
GPA,TEMPRANILLO UNIFICADO,306.3374194,54.85193548,21298.93580732,234.52516128,,
GPA,TENAY,98.09580645,55.13322581,21298.93580732,234.52516128,3.06834501185263,-75.3133377615686
GPA,UNIFICADO RIO CEIBAS,578.9232258,,21298.93580732,234.52516128,,
GPA,YAGUARA,1511.490645,,21298.93580732,234.52516128,-37.6832763325113,84.1306330834952
GRM,AULLADOR,334.3351613,,33473.8948339,103.06574839,7.58902450553244,-73.6337242484098
GRM,CASABE,7584.006452,,33473.8948339,103.06574839,7.05298131155675,-73.9096425306115
GRM,CASABE SUR,1309.694194,,33473.8948339,103.06574839,7.00187487800938,-73.9499584730593
GRM,CRISTALINA,178.7841935,,33473.8948339,103.06574839,7.60574013841162,-73.718448592324
GRM,FLAMENCOS,627.58,,33473.8948339,103.06574839,7.4662008048997,-73.8658127202232
GRM,GARZAS,558.6190323,,33473.8948339,103.06574839,7.5050313593287,-73.8416547148598
GRM,LISAMA,691.8522581,35.57109355,33473.8948339,103.06574839,7.13045014150996,-73.5406268935259
GRM,LLANITO UNIFICADO,4808.514839,,33473.8948339,103.06574839,7.10939843823932,-73.8618133614966
GRM,NUTRIA,677.2922581,47.68488065,33473.8948339,103.06574839,7.00921596026356,-73.5470029783173
GRM,PEÑAS BLANCAS,1333.191935,,33473.8948339,103.06574839,6.95895258821443,-73.9677547060121
GRM,SAN ROQUE,1279.371935,,33473.8948339,103.06574839,7.98353059049836,-73.5761725296259
GRM,TESORO,296.6203226,19.80977419,33473.8948339,103.06574839,7.02571863762492,-73.5619303397881
GRM,TISQUIRAMA,1223.602903,,33473.8948339,103.06574839,8.04229919817148,-73.5996236449565
GRM,YARIGUI-CANTAGALLO,12570.42935,,33473.8948339,103.06574839,7.34217599988514,-73.937297020347
GTA,ABARCO,1331.888065,,16603.6983881,0.0,6.13935509850407,-74.5611209607133
GTA,AREA TECA-COCORNA,1526.629677,,16603.6983881,0.0,6.05908218749025,-74.5941255116055
GTA,GIRASOL,1428.693226,,16603.6983881,0.0,6.11861822498119,-74.5793490607412
GTA,JAZMIN,2105.146129,,16603.6983881,0.0,6.10899479608024,-74.588217481452
GTA,MORICHE,6032.783871,,16603.6983881,0.0,6.11852908240814,-74.5678617752332
GTA,NARE SUR,144.3712903,,16603.6983881,0.0,6.07625489818104,-74.5887110879333
GTA,NARE UNIFICADO,1730.734839,,16603.6983881,0.0,,
GTA,SARDINATA,99.6583871,,16603.6983881,0.0,8.45024488451526,-72.6621811087621
GTA,TIBU,1219.644194,,16603.6983881,0.0,-4.39273172445123,-83.0502370761127
GTA,UNDERRIVER,984.1487097,,16603.6983881,0.0,6.09490684465699,-74.5861390815115
GXO,LORITO,1421.033226,,1880.8264518,0.0,3.84812916895377,-73.799138460053
GXO,TINAMU,459.7932258,,1880.8264518,0.0,,
PRP,CUPIAGUA,4862.235484,6349.8238710000005,5896.22322599,13005.9406455,5.18247267116816,-72.6495783187015
PRP,CUPIAGUA SUR,342.3225806,3580.206452,5896.22322599,13005.9406455,5.137677197017433,-72.65695433162684
PRP,CUSIANA,516.52000009,2167.0438709,5896.22322599,13005.9406455,4.99321730772906,-72.6989780270247
PRP,RECETOR WEST,175.1451613,908.8664516,5896.22322599,13005.9406455,5.30232103338097,-72.5685458285918
